ngram,company,value
adding_echo,Black  Plus,1
adding_echo,Heather Gray Fabric ,2
adding_event,Black  Spot,1
adding_house,White  Spot,1
adding_item,Black  Show,1
adding_love,Black,1
adding_new,Black  Show,1
adding_room,Black,1
adding_setting,White  Spot,1
adding_smart,Black  Dot,2
adding_smart,Black  Plus,1
adding_smart,Charcoal Fabric ,2
adding_smart,Heather Gray Fabric ,2
adding_song,Black  Plus,1
adding_string,Black  Plus,1
adding_user,Black  Plus,1
addition_able,Charcoal Fabric ,2
addition_alexa,Black  Dot,2
addition_alexa,Black  Show,3
addition_alexa,Configuration: Fire TV Stick,1
addition_alexa,White  Show,2
addition_breakfast,Charcoal Fabric ,2
addition_collection,White,1
addition_common,Black  Show,1
addition_dont,Black  Plus,1
addition_echo,Charcoal Fabric ,2
addition_family,Sandstone Fabric ,2
addition_home,Black  Dot,2
addition_home,Charcoal Fabric ,2
addition_home,White  Spot,1
addition_house,Black  Spot,1
addition_house,Sandstone Fabric ,2
addition_listening,White  Plus,1
addition_phone,Black  Plus,1
addition_small,White  Spot,1
addition_smart,Black  Spot,1
additional_alexa,Black  Dot,2
additional_even,Black  Dot,2
additional_light,Sandstone Fabric ,2
additional_nightstand,White  Spot,1
additional_one,Configuration: Fire TV Stick,1
additional_piece,Charcoal Fabric ,2
additional_room,Black  Dot,2
additional_skill,Black  Plus,1
additional_speaker,White  Dot,2
additional_subscription,White  Plus,1
additionally_wifi,Black,1
address_far,Black  Plus,1
addressed_husband,Black  Show,1
adept_thing,Black  Show,1
adequate_indoor,Black  Plus,1
adequate_replacement,Black  Spot,1
adequate_understands,Black  Dot,2
adjacent_family,White  Show,1
adjust_bass,Heather Gray Fabric ,2
adjust_bass,White  Show,1
adjust_echo,White  Spot,1
adjust_lightning,Black  Spot,1
adjust_sound,White  Plus,1
adjusting_volume,Black  Plus,1
adjustment_set,Black  Spot,1
adjusts_ac,Charcoal Fabric ,2
admit_explored,White  Plus,1
adorable_room,Black  Spot,1
adult_everyone,Black  Dot,2
advance_one,Black  Plus,1
advanced_amazon,Charcoal Fabric ,2
advanced_basic,Black  Plus,1
advanced_light,Black  Plus,1
advanced_warning,Black  Spot,1
advantage_many,Black  Plus,1
advantage_prime,Black  Show,1
advantage_read,White  Spot,1
advantage_show,Black  Show,1
advertise_show,White  Spot,1
advertise_system,Black  Show,1
advertised_bought,Configuration: Fire TV Stick,1
advertised_connected,Black  Plus,1
advertised_easy,Charcoal Fabric ,2
advertised_happy,Black  Plus,1
advertised_instead,White,1
advertised_say,Black  Plus,1
advertised_skill,Black  Plus,1
advertised_speak,Black,1
advertised_thanks,Black,1
advertised_use,Charcoal Fabric ,2
advertisement_around,Black  Spot,1
advertisement_made,White  Spot,1
advertisement_setup,White  Show,1
advertising_especially,Black  Spot,1
advertising_thing,Black  Spot,1
advice_patient,Charcoal Fabric ,2
advise_anyone,Configuration: Fire TV Stick,1
advised_paid,Black,1
aesthetic_complaint,Black  Show,1
aesthetic_purpose,White  Show,1
affirmation_use,Black  Show,1
affirmcom_purchase,White  Plus,1
afford_replace,Charcoal Fabric ,2
affordable_love,Black  Dot,2
afraid_ask,Black  Show,1
afraid_wouldnt,Black  Plus,1
afternoon_going,Charcoal Fabric ,2
afterwards_repeat,Sandstone Fabric ,2
againi_love,Black  Show,1
againthis_fire,Configuration: Fire TV Stick,1
age_ago,Black  Dot,2
agent_man,Black  Show,1
ago_day,Black  Plus,1
ago_device,Black  Spot,1
ago_everything,Charcoal Fabric ,2
ago_idea,Black  Plus,1
ago_love,Black  Show,1
ago_wish,Configuration: Fire TV Stick,1
agoyesterday_set,Black  Show,1
agree_youtube,Black  Show,1
agreement_expires,Configuration: Fire TV Stick,1
ahead_competition,Black  Show,1
ahead_put,White,1
ai_built,Black  Plus,1
ai_get,Black  Spot,1
ai_house,Black,1
ai_natural,Black  Dot,2
ai_responding,Black  Plus,1
ai_system,White  Plus,1
ai_think,Heather Gray Fabric ,2
aide_schedule,White  Plus,1
aint_google,Black  Show,1
air_stuck,Black  Show,1
al_estar,Black  Dot,2
al_internet,Black  Dot,2
alabama_dont,White  Spot,1
alarm_alexa,Black  Plus,1
alarm_alexa,Black  Spot,1
alarm_answering,White,1
alarm_bedroom,Sandstone Fabric ,2
alarm_calendar,Black  Dot,2
alarm_call,Black  Dot,2
alarm_changing,White  Spot,1
alarm_check,Black  Dot,2
alarm_clock,Black,1
alarm_clock,Black  Dot,2
alarm_clock,Black  Show,1
alarm_clock,Black  Spot,22
alarm_clock,Charcoal Fabric ,2
alarm_clock,Heather Gray Fabric ,2
alarm_clock,White  Plus,1
alarm_clock,White  Spot,8
alarm_clockradio,Black  Spot,1
alarm_connected,Black  Dot,2
alarm_could,White,1
alarm_delete,White  Spot,1
alarm_etc,White  Dot,2
alarm_every,Black,1
alarm_excited,Black  Spot,1
alarm_face,White  Spot,1
alarm_feature,Charcoal Fabric ,2
alarm_featurejust,Black  Spot,1
alarm_fussing,Black  Spot,1
alarm_get,Black  Plus,1
alarm_go,Black  Spot,2
alarm_great,Black  Spot,1
alarm_ha,Black  Spot,1
alarm_hard,White  Spot,1
alarm_house,Black  Plus,1
alarm_individual,Black  Spot,1
alarm_know,Black  Spot,1
alarm_mention,Black  Spot,1
alarm_morning,Black  Plus,1
alarm_morning,White  Spot,1
alarm_music,Black  Dot,4
alarm_need,Black  Spot,1
alarm_never,Black  Spot,1
alarm_personally,Black  Spot,1
alarm_play,White  Dot,4
alarm_playing,Sandstone Fabric ,2
alarm_print,White  Spot,1
alarm_red,Black  Spot,1
alarm_reminder,Black  Dot,2
alarm_save,Black  Spot,1
alarm_security,Black  Spot,1
alarm_set,Black  Spot,2
alarm_set,White  Spot,1
alarm_shopping,Black  Spot,1
alarm_snooze,White  Spot,1
alarm_talking,Black  Dot,2
alarm_tell,Black  Dot,2
alarm_time,Black  Plus,1
alarm_timer,White  Dot,2
alarm_timer,White  Show,1
alarm_turned,Black  Spot,1
alarm_u,Sandstone Fabric ,2
alarm_use,Black  Spot,1
alarm_video,Black  Spot,1
alarm_voice,Black  Spot,1
alarm_wake,Black  Dot,4
alarm_wake,Black  Spot,1
alarm_wake,Sandstone Fabric ,2
alarm_way,Black  Spot,1
alarm_weather,White  Spot,1
alarm_weekday,Black  Spot,1
alarm_weekday,White  Spot,1
alarm_weekend,Black,1
alarm_without,Black  Spot,1
alarm_work,Black  Spot,1
alarm_youre,Black  Spot,1
alarm_ ,Black  Spot,1
alarmbed_time,White  Dot,2
alarmcom_well,Black  Plus,1
alarmthis_especially,White  Spot,1
albeit_limitation,Black,1
alert_like,Black  Spot,1
alert_make,Black,1
alert_nois,Black  Dot,2
alert_u,White  Show,1
alex_app,Black  Spot,1
alex_cool,Black  Dot,2
alex_print,Black  Plus,1
alex_read,White  Spot,1
alexa_able,Black  Spot,1
alexa_able,Sandstone Fabric ,2
alexa_actually,Black  Dot,2
alexa_add,White  Show,1
alexa_additional,Black  Dot,2
alexa_alarm,Sandstone Fabric ,2
alexa_always,Black  Plus,3
alexa_always,Black  Spot,1
alexa_always,Configuration: Fire TV Stick,1
alexa_amazing,Charcoal Fabric ,2
alexa_amazing,White  Show,1
alexa_amazon,Charcoal Fabric ,2
alexa_answer,Charcoal Fabric ,2
alexa_answer,White  Show,1
alexa_answer,White  Spot,1
alexa_anything,Charcoal Fabric ,2
alexa_anywhere,Black  Spot,1
alexa_app,Black,1
alexa_app,Black  Dot,4
alexa_app,Black  Plus,3
alexa_app,Black  Show,1
alexa_app,Black  Spot,2
alexa_app,Charcoal Fabric ,2
alexa_app,Heather Gray Fabric ,2
alexa_app,White  Plus,2
alexa_app,White  Show,1
alexa_appon,Black  Show,1
alexa_around,Black  Dot,2
alexa_ask,Black  Plus,2
alexa_available,Charcoal Fabric ,2
alexa_awesome,Black,1
alexa_awesome,Black  Plus,1
alexa_awesome,White  Plus,1
alexa_base,Black  Dot,2
alexa_based,Black  Dot,2
alexa_beam,Black  Spot,1
alexa_become,Black,1
alexa_becoming,Black  Dot,2
alexa_best,Black,1
alexa_best,Black  Plus,1
alexa_biggest,Black  Plus,1
alexa_bit,Black  Plus,1
alexa_blue,Black,1
alexa_bought,Oak Finish ,2
alexa_call,Black  Show,1
alexa_cannot,White  Plus,1
alexa_cant,Black,1
alexa_chance,Black  Show,1
alexa_clean,White  Spot,1
alexa_command,Black  Plus,1
alexa_compatible,Heather Gray Fabric ,2
alexa_completely,White  Show,1
alexa_component,Heather Gray Fabric ,2
alexa_confused,White  Plus,1
alexa_connect,Charcoal Fabric ,2
alexa_control,Black,1
alexa_control,Black  Plus,1
alexa_control,Heather Gray Fabric ,2
alexa_control,Walnut Finish ,2
alexa_controll,Black  Plus,1
alexa_convenient,Configuration: Fire TV Stick,1
alexa_could,Sandstone Fabric ,2
alexa_couldnt,Black  Plus,1
alexa_couple,Heather Gray Fabric ,2
alexa_decent,White  Plus,1
alexa_decides,Black  Show,1
alexa_defence,Black  Spot,1
alexa_device,Black,1
alexa_device,Black  Plus,4
alexa_device,Black  Show,2
alexa_device,Black  Spot,7
alexa_device,White  Dot,2
alexa_device,White  Show,1
alexa_device,White  Spot,1
alexa_didnt,Black  Plus,1
alexa_didnt,Black  Plus,1
alexa_different,Black  Show,1
alexa_different,Charcoal Fabric ,2
alexa_doe,Black,1
alexa_doe,Black  Dot,2
alexa_doe,Black  Plus,1
alexa_doe,Charcoal Fabric ,2
alexa_doe,Heather Gray Fabric ,2
alexa_doe,White  Dot,2
alexa_doesnt,Black  Show,1
alexa_doesnt,Charcoal Fabric ,2
alexa_doesnt,White  Spot,1
alexa_doesnt,White  Show,1
alexa_dont,Black  Show,1
alexa_dont,Black  Spot,1
alexa_dont,Charcoal Fabric ,2
alexa_dont,Sandstone Fabric ,2
alexa_dot,Black,3
alexa_dot,Black  Dot,2
alexa_dot,Black  Show,1
alexa_dot,Charcoal Fabric ,2
alexa_driven,Black  Spot,1
alexa_due,Black  Plus,1
alexa_easy,Charcoal Fabric ,1
alexa_echo,Black,1
alexa_echo,Black  Plus,3
alexa_echo,Black  Spot,1
alexa_echo,Charcoal Fabric ,2
alexa_echo,Configuration: Fire TV Stick,2
alexa_echo,White,1
alexa_else,Charcoal Fabric ,2
alexa_enabled,Black  Dot,2
alexa_enabled,Black  Spot,2
alexa_enabled,Configuration: Fire TV Stick,1
alexa_enabled,White  Spot,1
alexa_enters,Black  Spot,1
alexa_especially,Black  Dot,2
alexa_even,White  Show,1
alexa_even,White  Spot,1
alexa_every,White  Plus,1
alexa_family,Black  Show,2
alexa_family,Black  Spot,1
alexa_family,White  Show,1
alexa_far,Black  Plus,1
alexa_feature,Black  Spot,1
alexa_feature,Configuration: Fire TV Stick,3
alexa_feature,White  Show,1
alexa_find,Black  Plus,2
alexa_find,Configuration: Fire TV Stick,2
alexa_fire,Black  Spot,1
alexa_fun,Black  Show,1
alexa_functionality,Black  Plus,1
alexa_gave,Black  Dot,2
alexa_get,Black  Plus,1
alexa_get,Black  Show,1
alexa_get,Black  Spot,1
alexa_get,Configuration: Fire TV Stick,1
alexa_get,White  Spot,1
alexa_getting,Black  Spot,1
alexa_getting,Configuration: Fire TV Stick,1
alexa_give,Black  Show,1
alexa_give,Black  Spot,1
alexa_going,Sandstone Fabric ,2
alexa_good,Black  Plus,1
alexa_google,Black  Dot,2
alexa_great,Black,3
alexa_great,Black  Plus,1
alexa_great,Charcoal Fabric ,2
alexa_great,Sandstone Fabric ,2
alexa_great,White  Plus,1
alexa_ha,Black,1
alexa_ha,Black  Plus,4
alexa_ha,Black  Spot,2
alexa_ha,Charcoal Fabric ,4
alexa_ha,Heather Gray Fabric ,2
alexa_ha,Walnut Finish ,2
alexa_ha,White  Plus,1
alexa_ha,White  Spot,1
alexa_haha,White  Dot,2
alexa_happy,Configuration: Fire TV Stick,1
alexa_hardly,Charcoal Fabric ,2
alexa_hear,Charcoal Fabric ,2
alexa_heard,Configuration: Fire TV Stick,1
alexa_heard,White  Spot,1
alexa_help,Black  Plus,1
alexa_help,Black  Spot,1
alexa_helpful,Black  Show,1
alexa_helpful,Charcoal Fabric ,2
alexa_home,Charcoal Fabric ,2
alexa_home,White  Show,1
alexa_hope,Black,1
alexa_hot,Black  Plus,1
alexa_hub,Black  Dot,2
alexa_hub,Black  Plus,2
alexa_install,Black  Plus,1
alexa_iso,Black  Plus,1
alexa_item,White  Spot,1
alexa_keep,Black  Plus,1
alexa_kind,Black  Dot,2
alexa_know,Black  Dot,2
alexa_learning,Black  Plus,1
alexa_learning,Charcoal Fabric ,2
alexa_learning,White  Plus,1
alexa_learns,Black  Dot,2
alexa_learns,White,1
alexa_learns,White  Plus,1
alexa_life,Black  Show,1
alexa_like,Black  Dot,2
alexa_like,Black  Spot,1
alexa_liked,Charcoal Fabric ,2
alexa_limited,Black  Show,1
alexa_little,Black  Dot,2
alexa_lol,Black,1
alexa_lol,Black  Show,1
alexa_looking,Black  Plus,1
alexa_love,Charcoal Fabric ,2
alexa_love,White  Dot,2
alexa_love,White  Plus,1
alexa_make,Black  Dot,2
alexa_make,Black  Plus,1
alexa_make,Configuration: Fire TV Stick,1
alexa_manner,Sandstone Fabric ,2
alexa_may,Charcoal Fabric ,2
alexa_much,White,1
alexa_music,Black  Plus,1
alexa_need,White  Dot,2
alexa_new,Black  Plus,1
alexa_new,White,1
alexa_nice,Black  Spot,1
alexa_nice,Configuration: Fire TV Stick,2
alexa_one,Charcoal Fabric ,2
alexa_one,White  Plus,2
alexa_onto,Black  Dot,2
alexa_option,Black  Plus,1
alexa_order,Black  Spot,1
alexa_perfect,Black  Dot,2
alexa_perform,Black  Show,1
alexa_personal,White  Show,1
alexa_phenomenal,Black  Dot,2
alexa_phone,Black  Spot,1
alexa_picked,Black  Plus,1
alexa_play,Black  Dot,2
alexa_play,Black  Plus,1
alexa_play,Black  Spot,1
alexa_play,Charcoal Fabric ,6
alexa_play,Heather Gray Fabric ,2
alexa_play,White  Dot,4
alexa_play,White  Plus,1
alexa_plus,Black  Plus,1
alexa_present,White  Show,1
alexa_pretty,Black  Dot,2
alexa_pretty,White  Show,1
alexa_primarily,Black  Plus,1
alexa_prime,Sandstone Fabric ,2
alexa_product,Black,1
alexa_product,Black  Plus,1
alexa_product,Black  Spot,1
alexa_product,White  Spot,1
alexa_program,Black  Dot,2
alexa_program,White  Spot,1
alexa_provide,White  Show,1
alexa_provided,White  Plus,1
alexa_question,Black  Dot,2
alexa_question,Black  Plus,1
alexa_question,White  Spot,1
alexa_rather,White  Plus,1
alexa_read,White  Show,1
alexa_really,Black  Plus,1
alexa_really,Charcoal Fabric ,2
alexa_recently,Black  Plus,1
alexa_reminder,White  Spot,1
alexa_remote,Configuration: Fire TV Stick,1
alexa_repeat,Black  Spot,1
alexa_requires,Black  Dot,2
alexa_respond,Sandstone Fabric ,2
alexa_responds,Black,1
alexa_responsivecan,White,1
alexa_resume,Black  Show,1
alexa_rock,Black  Dot,2
alexa_rock,Charcoal Fabric ,2
alexa_room,Configuration: Fire TV Stick,1
alexa_said,Black,1
alexa_savvy,Charcoal Fabric ,2
alexa_say,Walnut Finish ,1
alexa_screen,Black  Show,1
alexa_search,Black  Show,1
alexa_seems,White  Dot,2
alexa_service,White  Spot,1
alexa_setup,Black  Plus,1
alexa_show,Black  Show,2
alexa_show,Black  Spot,1
alexa_since,Charcoal Fabric ,2
alexa_sing,Black  Spot,1
alexa_skill,Black  Dot,6
alexa_skill,Black  Show,1
alexa_skill,Black  Spot,1
alexa_skill,White  Spot,1
alexa_smart,Black  Dot,2
alexa_smart,Black  Plus,1
alexa_smart,Black  Spot,1
alexa_software,Configuration: Fire TV Stick,1
alexa_something,Black  Show,1
alexa_son,Heather Gray Fabric ,2
alexa_sooooo,Black  Show,1
alexa_sorprendió,White  Spot,1
alexa_sound,Black,1
alexa_speaker,Charcoal Fabric ,4
alexa_speaking,Black  Spot,1
alexa_spell,Black,1
alexa_still,Black  Dot,2
alexa_still,Black  Plus,2
alexa_still,Black  Show,1
alexa_surprised,Heather Gray Fabric ,2
alexa_synced,White  Spot,1
alexa_system,Black  Plus,1
alexa_take,Black  Show,1
alexa_talk,White  Spot,1
alexa_talking,White  Dot,2
alexa_tap,Heather Gray Fabric ,2
alexa_tap,White  Plus,1
alexa_tell,White  Dot,2
alexa_thank,Sandstone Fabric ,2
alexa_thank,White,1
alexa_thing,Black  Spot,1
alexa_thing,White  Show,1
alexa_think,Black  Dot,2
alexa_think,Black  Plus,1
alexa_throughout,Heather Gray Fabric ,2
alexa_time,Black  Dot,2
alexa_time,White  Spot,1
alexa_tip,Black  Show,1
alexa_trial,Configuration: Fire TV Stick,1
alexa_turn,Black,1
alexa_turn,Black  Dot,4
alexa_turn,Black  Plus,2
alexa_turn,Black  Spot,2
alexa_turn,Charcoal Fabric ,2
alexa_turn,Heather Gray Fabric ,2
alexa_turn,White  Spot,1
alexa_two,Sandstone Fabric ,2
alexa_u,Black  Dot,2
alexa_u,Black  Plus,1
alexa_understands,Charcoal Fabric ,2
alexa_unit,Black  Plus,1
alexa_unless,White,1
alexa_unless,White  Show,1
alexa_unplugged,White,1
alexa_upstairs,White  Plus,1
alexa_us,Charcoal Fabric ,2
alexa_usage,Black  Plus,1
alexa_use,Black  Show,1
alexa_use,Black  Spot,1
alexa_use,Charcoal Fabric ,2
